         4688146 function calls (4563357 primitive calls) in 3.933 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      7/4    0.000    0.000    0.031    0.008 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/parfors/parfor.py:4795(remove_dead_parfor_recursive)
      138    0.000    0.000    0.030    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/llvmlite/ir/values.py:1006(descr)
22760/12034    0.010    0.000    0.030    0.000 {method 'format' of 'str' objects}
      190    0.000    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:585(_compile_bytecode)
     6917    0.002    0.000    0.030    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/ir.py:608(list_vars)
      190    0.030    0.000    0.030    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.029    0.029 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/np/ufunc/parallel.py:49(build_gufunc_kernel)
    33/24    0.000    0.000    0.028    0.001 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/parfors/parfor.py:4009(parfor_defs)
12622/5206    0.004    0.000    0.027    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/llvmlite/ir/_utils.py:44(__str__)
       18    0.000    0.000    0.027    0.001 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/llvmlite/ir/values.py:999(descr_body)
      232    0.000    0.000    0.027    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/llvmlite/ir/values.py:1172(descr)
     1656    0.002    0.000    0.027    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/selectors.py:554(select)
      232    0.000    0.000    0.026    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/llvmlite/ir/values.py:1174(<listcomp>)
      291    0.000    0.000    0.025    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/entrypoints.py:23(init_all)
        1    0.000    0.000    0.025    0.025 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/dispatcher.py:236(_compilation_chain_init_hook)
        1    0.000    0.000    0.025    0.025 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/importlib/metadata.py:554(entry_points)
      186    0.000    0.000    0.025    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/importlib/metadata.py:559(<genexpr>)
     2024    0.025    0.000    0.025    0.000 {method 'control' of 'select.kqueue' objects}
27378/26802    0.004    0.000    0.025    0.000 {built-in method builtins.next}
        2    0.000    0.000    0.024    0.012 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/lowering.py:273(create_cpython_wrapper)
        2    0.000    0.000    0.024    0.012 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/cpu.py:181(create_cpython_wrapper)
     3513    0.004    0.000    0.023    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/llvmlite/ir/values.py:544(_to_string)
       12    0.000    0.000    0.023    0.002 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/codegen.py:732(add_llvm_module)
       96    0.000    0.000    0.023    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/pprint.py:55(pformat)
