         13633529 function calls (13507492 primitive calls) in 14.321 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      808    0.001    0.000    0.047    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/asyncio/events.py:653(new_event_loop)
      808    0.001    0.000    0.046    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/asyncio/unix_events.py:53(__init__)
      808    0.003    0.000    0.045    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/asyncio/selector_events.py:54(__init__)
      209    0.000    0.000    0.045    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typing/templates.py:606(generic)
      209    0.000    0.000    0.044    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typing/templates.py:697(_get_impl)
     2359    0.004    0.000    0.044    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.043    0.043 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typed_passes.py:352(run_pass)
        1    0.000    0.000    0.043    0.043 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/parfors/parfor.py:2953(run)
        1    0.000    0.000    0.042    0.042 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/np/ufunc/parallel.py:255(build_gufunc_wrapper)
      7/4    0.001    0.000    0.041    0.010 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/parfors/parfor.py:4657(remove_dead_parfor)
      246    0.000    0.000    0.041    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typing/templates.py:1046(__init__)
      258    0.001    0.000    0.040    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typing/templates.py:899(_get_target_registry)
      239    0.000    0.000    0.039    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typing/templates.py:1092(_init_once)
   460878    0.031    0.000    0.039    0.000 {built-in method builtins.isinstance}
      291    0.000    0.000    0.035    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/entrypoints.py:23(init_all)
        1    0.000    0.000    0.035    0.035 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/dispatcher.py:236(_compilation_chain_init_hook)
        1    0.000    0.000    0.035    0.035 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/importlib/metadata.py:554(entry_points)
      186    0.000    0.000    0.035    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/importlib/metadata.py:559(<genexpr>)
    83224    0.027    0.000    0.035    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/_weakrefset.py:82(add)
        4    0.000    0.000    0.035    0.009 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/types/functions.py:389(get_call_type)
        2    0.000    0.000    0.035    0.017 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typing/templates.py:1129(generic)
       12    0.000    0.000    0.035    0.003 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typing/templates.py:748(_build_impl)
        3    0.000    0.000    0.035    0.012 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typing/templates.py:1075(_get_signature)
       30    0.000    0.000    0.035    0.001 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/postproc.py:71(run)
      216    0.000    0.000    0.035    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
        4    0.000    0.000    0.034    0.009 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/types/functions.py:534(get_call_type)
        4    0.000    0.000    0.034    0.009 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/dispatcher.py:303(get_call_template)
      294    0.001    0.000    0.034    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typing/context.py:744(load_additional_registries)
        1    0.000    0.000    0.033    0.033 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/scipy/linalg/_sketches.py:1(<module>)
        1    0.000    0.000    0.033    0.033 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/scipy/sparse/__init__.py:1(<module>)
       46    0.000    0.000    0.032    0.001 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/llvmlite/ir/module.py:233(__repr__)
       46    0.000    0.000    0.032    0.001 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/llvmlite/ir/module.py:207(_get_body_lines)
       46    0.000    0.000    0.032    0.001 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/llvmlite/ir/module.py:212(<listcomp>)
       26    0.000    0.000    0.032    0.001 <frozen importlib._bootstrap_external>:1106(create_module)
       26    0.032    0.001    0.032    0.001 {built-in method _imp.create_dynamic}
  412/285    0.001    0.000    0.031    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/functools.py:949(__get__)
24008/13282    0.011    0.000    0.031    0.000 {method 'format' of 'str' objects}
      138    0.000    0.000    0.031    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/llvmlite/ir/values.py:1013(__str__)
      185    0.000    0.000    0.030    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/importlib/metadata.py:259(entry_points)
      138    0.000    0.000    0.030    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/llvmlite/ir/values.py:1006(descr)
      7/4    0.000    0.000    0.030    0.007 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/parfors/parfor.py:4795(remove_dead_parfor_recursive)
        1    0.000    0.000    0.030    0.030 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/np/ufunc/parallel.py:49(build_gufunc_kernel)
     6917    0.002    0.000    0.030    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/ir.py:608(list_vars)
      190    0.000    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:976(get_data)
      190    0.000    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:585(_compile_bytecode)
      190    0.028    0.000    0.028    0.000 {built-in method marshal.loads}
    33/24    0.000    0.000    0.027    0.001 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/parfors/parfor.py:4009(parfor_defs)
12622/5206    0.004    0.000    0.027    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/llvmlite/ir/_utils.py:44(__str__)
       18    0.000    0.000    0.027    0.001 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/llvmlite/ir/values.py:999(descr_body)
      232    0.000    0.000    0.027    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/llvmlite/ir/values.py:1172(descr)
      232    0.000    0.000    0.026    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/llvmlite/ir/values.py:1174(<listcomp>)
      808    0.001    0.000    0.026    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/asyncio/unix_events.py:57(close)
        2    0.000    0.000    0.025    0.013 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/lowering.py:273(create_cpython_wrapper)
        2    0.000    0.000    0.025    0.013 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/cpu.py:181(create_cpython_wrapper)
27378/26802    0.004    0.000    0.025    0.000 {built-in method builtins.next}
      808    0.002    0.000    0.024    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/asyncio/selector_events.py:87(close)
      808    0.002    0.000    0.024    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/asyncio/selector_events.py:106(_make_self_pipe)
     3513    0.004    0.000    0.023    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/llvmlite/ir/values.py:544(_to_string)
